time,Building 1,Building 2,Building 3,Building 4,Building 5,Building 6,Building 7,Building 8,Building 9,Building 10,Building 11,Building 12,Building 13,Building 14,Building 15,Building 16,Building 17,Building 18,Building 19,Building 20,Building 21,Building 22,Building 23,Building 24,Building 25,Building 26,Building 27,Building 28,Total,costData,Emissions,,GHI,Solar_Power,,,,Solar_Power_2,,"Solar Power (kW, 22 Panel)",
1,2.766049464,3.062123936,2.610510098,3.060037758,2.43064351,2.71393057,2.449099483,2.414056922,2.445369986,2.450133484,1.748235798,2.67393422,2.248475939,2.306681942,2.59436541,6.591311655,2.660607973,2.529237663,2.50675018,2.143308507,2.808818886,3.023093519,2.86865268,3.239445944,2.489533712,2.608188032,2.631229071,2.703884631,76.77771097,0.10388,0.587024,0.318093434,0,0,2.766049464,2.766049464,0.287337218,0,,0,
2,3.089154946,3.382411362,2.878561739,3.062955925,2.618708703,3.034099564,2.627254837,2.615735132,2.634136066,2.658216166,1.863976725,2.675453465,2.334406114,2.508468697,2.575691726,4.088104664,2.951730489,2.695071896,2.59466794,2.306214725,2.776392593,2.999864391,2.845873847,3.194229053,2.633331969,2.904497296,2.269114301,2.62864445,77.44696878,0.10388,0.585625,0.351364892,0,0,3.089154946,3.089154946,0.320901416,0,,0,
3,3.19324971,3.482674489,3.005529316,3.039390163,2.700186915,3.162412053,2.716630198,2.69582802,2.716424796,2.748313931,1.910949888,2.657048351,2.380632323,2.623785526,2.562797742,3.378659177,3.039292064,2.795738137,2.562168817,2.37313456,2.765282842,2.98715243,2.832279825,3.161861585,2.612614412,2.968245995,2.301393263,2.607719198,77.98139573,0.10388,0.585171,0.361780226,0,0,3.19324971,3.19324971,0.33171478,0,,0,
4,3.157936395,3.451630613,2.98332719,3.029408149,2.671072842,3.138959836,2.678381232,2.667946596,2.70091766,2.718225897,1.893980341,2.655459271,2.346649456,2.602845804,2.557250415,3.298333407,3.005261582,2.814553168,2.556316921,2.350167568,2.744262657,2.979154034,2.82476824,3.16279344,2.607637919,2.91603932,2.254939758,2.605363459,77.37358317,0.10388,0.586079,0.358555388,0,0,3.157936395,3.157936395,0.328046433,0,71.45047094,0,
5,3.08457543,3.678461219,2.927483183,3.078035915,2.659080154,3.073514434,2.637695171,2.631243636,2.672330178,2.663825794,1.847438244,2.700387607,2.325372456,2.571910303,2.600890155,3.224344399,2.941485234,2.773483126,2.949555429,2.315913486,3.1837418,3.031257994,2.872338975,3.212548477,2.650022088,2.87115104,2.227972028,2.662903884,78.06896184,0.10388,0.583093,0.382118551,0,0,3.08457543,3.08457543,0.320425696,0,,0,
6,3.390990694,3.896560045,3.208865768,3.780988314,2.900209511,3.372598391,3.548791883,3.250860934,3.21277107,2.897202356,1.975207454,2.677460632,2.538787368,2.832539368,2.599801434,4.043900963,3.913917743,2.999781835,2.681539197,2.514012356,3.128284715,3.003585667,2.84642837,3.530933239,2.645114881,3.596967413,2.408544453,2.669651799,86.06629785,0.10388,0.578368,0.404774657,0,0,3.390990694,3.390990694,0.352256113,0,,0,
7,3.242726111,3.547891783,3.089210215,3.162079091,2.758849724,3.231603686,3.769529904,3.288400343,3.250778356,2.759213894,2.495946127,3.177562326,2.949809688,2.730055997,3.042177867,4.494455394,3.937325326,3.404905108,2.761778133,2.388467131,2.797299069,3.03419354,2.874101954,3.649387122,2.650986957,3.786922674,2.295636192,2.818099935,87.38939365,0.10388,0.44864,0.368554998,0,0,3.242726111,3.242726111,0.336854388,0,,0,
8,4.097723918,4.085210124,4.261052893,3.102011995,3.583341035,4.117202243,3.647930798,3.603646438,3.217626291,3.137817661,2.689914125,4.657513486,3.098940359,3.487975247,2.993776934,4.842764675,3.565672986,4.455736629,3.03514395,3.787042702,2.746206506,3.000313063,2.903249323,3.397173334,2.671490102,3.750312716,2.630782474,4.505896153,99.07346816,0.10388,0.342878,0.424371628,6,0.0382584,4.059465518,4.059465518,0.421697278,0.010068,,0.0442992,
9,3.498195991,3.176661641,3.40656705,3.183496215,3.116570565,3.923793352,2.581830442,2.766672641,2.991693282,2.523264105,2.240976998,5.709966111,3.132857366,2.975155507,2.662721696,4.178909397,2.768861771,3.951611344,2.700237696,3.496951155,3.123368121,3.307918851,3.001130728,3.271522781,2.859274769,3.218936356,2.16901211,4.647564659,90.5857227,0.10388,0.342311,0.329991611,100,0.63764,2.860555991,2.860555991,0.297154556,0.1678,,0.73832,
10,2.737741108,3.281148644,3.057377869,3.518901351,2.45331273,3.570732238,2.997545885,4.938907903,2.859721754,2.889071592,2.688593336,5.56941172,2.881000339,2.347857437,3.020807947,8.008766058,3.331679179,3.606430227,2.470814184,2.132662107,2.81070362,3.131098056,3.033906352,3.301174219,2.730955164,3.17905648,2.372200999,3.21758815,92.13916665,0.10388,0.444974,0.340845721,251,1.6004764,1.137264708,1.137264708,0.118139058,0.421178,,1.8531832,
11,2.842199907,3.029262558,3.604430032,3.228286631,2.20275546,3.403711701,3.360800609,5.545039456,2.274116559,3.16782914,2.320665617,3.761612798,1.875652974,2.142079616,2.606851432,5.628751901,2.961703798,2.905027657,2.393922118,2.384410649,2.549865029,2.575838838,3.032912076,3.23049756,2.165737907,3.278051165,2.184908138,2.766963312,83.42388464,0.10388,0.466897,0.314679795,390,2.486796,0.355403907,0.355403907,0.036919358,0.65442,,2.879448,
12,2.775777495,2.695220812,3.015392357,3.004468379,2.631595061,3.585702713,2.550308118,4.848887462,2.572903869,3.119529309,1.707916452,2.686044543,1.802482472,2.477958574,2.169608521,3.446785448,2.828466416,2.80064202,2.496224494,2.581352171,2.65686669,2.50938386,3.098612103,3.2435797,2.644245178,3.132702267,2.320939095,2.715822053,78.11941763,0.10388,0.443008,0.279979538,412,2.6270768,0.148700695,0.148700695,0.015447028,0.691336,,3.0418784,
13,2.26914892,3.227287628,2.624249338,3.063435037,3.031529214,5.595724591,1.997185441,2.478545489,2.851713227,2.867277259,1.366376846,2.259902566,1.692523015,2.652064357,2.462956274,2.779503077,2.86580581,3.070484094,2.439967248,2.38635925,3.845274639,2.302794005,2.861962269,3.643761725,3.084660212,2.73820994,2.016164785,3.21531243,77.69017869,0.10388,0.543328,0.335250639,455,2.901262,-0.63211308,0,0,0.76349,,3.359356,
14,1.990319018,2.608311739,1.945526524,2.698598723,2.138233144,2.16196618,1.729599211,2.192475221,2.237745501,2.168268404,1.167001867,2.065215352,2.178988823,2.024763204,2.3467738,2.17456483,2.866320236,2.375697171,2.175861528,2.358645813,3.106362436,2.084005691,2.420499287,3.724088155,2.163201112,2.043858144,1.469962543,3.358665498,63.97551915,0.1394,0.608078,0.363598656,397,2.5314308,-0.541111782,0,0,0.666166,,2.9311304,
